source	relation	target	status	note
ANOMALY_G2_COMMON_QUOTIENT	IMPORTS	MATH_MONOMIAL_QUOTIENT	conditional	g-2 common layer uses the same quotient coordinates.
ANOMALY_G2_COMMON_QUOTIENT	IMPORTS	MATH_XI1_PREF_SLOPE	conditional	g-2 residual can be expressed as transfer-shape / outgoing-prefactor slope.
ATLAS_RULE_PHYS_TO_MATH	APPLIES_TO	PHYS_BRANE_BULK_THROAT_DEFECT	active	Start with physical defect, then map to Sigma/R, wall action, response readouts.
ATLAS_RULE_PHYS_TO_MATH	GOVERNS	VIEW_CLAIM_LAYER	active	Every claim node must link physical meaning, math representation, proof status, and file anchor.
ATOM_HYDROGEN_ZERO_MODE	IMPORTS	MATH_QSTAR_QEFF	reduced	Hydrogenic charge scale uses corrected thickness-controlled q_eff.
ATOM_HYDROGEN_ZERO_MODE	IMPORTS	MATH_ZERO_MODE_MAXWELL	reduced	Hydrogenic reduction uses controlled zero-mode Maxwell/Coulomb sector.
CLAIM_1PN_EIH_WITHIN_HIERARCHY	LOWER_ORDER_ANCHOR_FOR	CLAIM_2PN_ADM_WITHIN_HIERARCHY	active	Claim-level dependency added in v0.4.
CLAIM_1PN_EIH_WITHIN_HIERARCHY	FEEDS_OR_STATUS_OF	PN_1_EIH_FULL	exact_assembly_within_closure	Claim feeds this downstream object, output, or open gate.
CLAIM_25PN_QUAD_NARROWING	NARROWS_CONSERVATIVE_PAYLOAD_FOR	CLAIM_3PN_GROUPED_P2_WITHIN_HIERARCHY	active	Claim-level dependency added in v0.4.
CLAIM_25PN_QUAD_NARROWING	SUPPLIES_TAIL_GATE_FOR	CLAIM_4PN_LOCAL_CLOSED_TAIL_CONDITIONAL	active	Claim-level dependency added in v0.4.
CLAIM_25PN_QUAD_NARROWING	FEEDS_OR_STATUS_OF	OPEN_QUAD_NORMALIZATION	conditional_theorem_open_normalization	Claim feeds this downstream object, output, or open gate.
CLAIM_25PN_QUAD_NARROWING	FEEDS_OR_STATUS_OF	PN_2_5_QUAD_NARROWING	conditional_theorem_open_normalization	Claim feeds this downstream object, output, or open gate.
CLAIM_2PN_ADM_WITHIN_HIERARCHY	STRUCTURAL_INPUT_TO	CLAIM_25PN_QUAD_NARROWING	active	Claim-level dependency added in v0.4.
CLAIM_2PN_ADM_WITHIN_HIERARCHY	FEEDS_OR_STATUS_OF	PHYS_GROUPED_P2_SHAPE_RESPONSE	exact_assembly_within_closure	Claim feeds this downstream object, output, or open gate.
CLAIM_2PN_ADM_WITHIN_HIERARCHY	FEEDS_OR_STATUS_OF	PN_2_ADM_FULL	exact_assembly_within_closure	Claim feeds this downstream object, output, or open gate.
CLAIM_3PN_GROUPED_P2_WITHIN_HIERARCHY	FEEDS_OR_STATUS_OF	MATH_GROUPED_PROJECTORS_GGRP	exact_assembly_within_closure	Claim feeds this downstream object, output, or open gate.
CLAIM_3PN_GROUPED_P2_WITHIN_HIERARCHY	FEEDS_OR_STATUS_OF	PN_3_GROUPED_P2_FULL	exact_assembly_within_closure	Claim feeds this downstream object, output, or open gate.
CLAIM_4PN_LOCAL_CLOSED_TAIL_CONDITIONAL	FEEDS_OR_STATUS_OF	OPEN_QUAD_NORMALIZATION	local_closed_tail_conditional	Claim feeds this downstream object, output, or open gate.
CLAIM_4PN_LOCAL_CLOSED_TAIL_CONDITIONAL	FEEDS_OR_STATUS_OF	PN_4_LOCAL_TAIL	local_closed_tail_conditional	Claim feeds this downstream object, output, or open gate.
CLAIM_5PN_FULL_BUNDLE_SURFACE	SUPPLIES_XI1_LANGUAGE_FOR	CLAIM_G2_COMMON_QUOTIENT	active	Claim-level dependency added in v0.4.
CLAIM_5PN_FULL_BUNDLE_SURFACE	REFINES	CLAIM_STAGE023_FULL_BUNDLE_RATIO	active	Claim-level dependency added in v0.4.
CLAIM_5PN_FULL_BUNDLE_SURFACE	FEEDS_OR_STATUS_OF	OPEN_N2_N4_MOMENT_SHAPE	exact_within_reduced_bundle_open_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_5PN_FULL_BUNDLE_SURFACE	FEEDS_OR_STATUS_OF	OPEN_WEAK_AXISYM_ORBIT_LOCK	exact_within_reduced_bundle_open_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_5PN_FULL_BUNDLE_SURFACE	FEEDS_OR_STATUS_OF	PN_5_FULL_BUNDLE_SURFACE	exact_within_reduced_bundle_open_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	FEEDS_OR_STATUS_OF	ATOM_FINITE_SIZE_P22	reduced_sector_consequence	Claim feeds this downstream object, output, or open gate.
CLAIM_ATOMIC_HYDROGEN_ZERO_MODE	FEEDS_OR_STATUS_OF	ATOM_HYDROGEN_ZERO_MODE	reduced_sector_consequence	Claim feeds this downstream object, output, or open gate.
CLAIM_BRANCH_EXPORTER_REQUIRED	FEEDS_OR_STATUS_OF	OPEN_ACTUAL_BRANCH_EXPORTER	open_actual_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_BRANCH_EXPORTER_REQUIRED	FEEDS_OR_STATUS_OF	OPEN_EXECUTABLE_BRANCH_SOLVER	open_actual_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_BRANCH_EXPORTER_REQUIRED	FEEDS_OR_STATUS_OF	TARGET_PACKET_A	open_actual_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_BRANCH_EXPORTER_REQUIRED	FEEDS_OR_STATUS_OF	TARGET_PACKET_B	open_actual_branch	Claim feeds this downstream object, output, or open gate.
CLAIM_CHARGE_ONTOLOGY_FIREWALL	FEEDS_OR_STATUS_OF	ATOM_HYDROGEN_ZERO_MODE	exact_bookkeeping_firewall	Claim feeds this downstream object, output, or open gate.
CLAIM_CHARGE_ONTOLOGY_FIREWALL	CONSTRAINS_NOTATION_FOR	CLAIM_ZERO_MODE_MAXWELL_REDUCTION	active	Claim-level dependency added in v0.4.
CLAIM_CHARGE_ONTOLOGY_FIREWALL	FEEDS_OR_STATUS_OF	LEPTON_MIXED_BERRY_ROTOR	exact_bookkeeping_firewall	Claim feeds this downstream object, output, or open gate.
CLAIM_CHARGE_ONTOLOGY_FIREWALL	FEEDS_OR_STATUS_OF	MATH_QSTAR_QEFF	exact_bookkeeping_firewall	Claim feeds this downstream object, output, or open gate.
CLAIM_G2_COMMON_QUOTIENT	FEEDS_OR_STATUS_OF	ANOMALY_G2_COMMON_QUOTIENT	conditional_reduced_residual	Claim feeds this downstream object, output, or open gate.
CLAIM_G2_COMMON_QUOTIENT	USES_PACKET_B	CLAIM_PACKET_A_PACKET_B_SPLIT	active	Claim-level dependency added in v0.4.
CLAIM_G2_COMMON_QUOTIENT	FEEDS_OR_STATUS_OF	OPEN_WEAK_AXISYM_ORBIT_LOCK	conditional_reduced_residual	Claim feeds this downstream object, output, or open gate.
CLAIM_LEPTON_HALF_INTEGER_CONDITIONAL	DEPENDS_ON	CLAIM_MIXED_SECTOR_MICROSCOPIC	active	Claim-level dependency added in v0.4.
CLAIM_LEPTON_HALF_INTEGER_CONDITIONAL	FEEDS_OR_STATUS_OF	LEPTON_HALF_INTEGER_CONDITIONAL	conditional_open	Claim feeds this downstream object, output, or open gate.
CLAIM_LEPTON_HALF_INTEGER_CONDITIONAL	FEEDS_OR_STATUS_OF	OPEN_LEPTON_SPIN_DISCRETIZER	conditional_open	Claim feeds this downstream object, output, or open gate.
CLAIM_LEPTON_MASS_REDUCED_LEDGER	PHYSICAL_THROAT_CONTEXT_FOR	CLAIM_STAGE1_GEOMETRY_LIFT	active	Claim-level dependency added in v0.4.
CLAIM_LEPTON_MASS_REDUCED_LEDGER	FEEDS_OR_STATUS_OF	LEPTON_MASS_REDUCED_LEDGER	reduced_closure_theorem_open_scale	Claim feeds this downstream object, output, or open gate.
CLAIM_MATERIAL_CLOSURE_GAP	BLOCKS_FULL_BRANCH_REALIZATION_IF_UNSOLVED	CLAIM_BRANCH_EXPORTER_REQUIRED	active	Claim-level dependency added in v0.4.
CLAIM_MATERIAL_CLOSURE_GAP	FEEDS_OR_STATUS_OF	MT_V2_29_MATERIAL_GAP	open	Claim feeds this downstream object, output, or open gate.
CLAIM_MATERIAL_CLOSURE_GAP	FEEDS_OR_STATUS_OF	OPEN_MATERIAL_CLOSURE	open	Claim feeds this downstream object, output, or open gate.
CLAIM_MAXWELL_GAUGE_LOCALIZATION_PATCH	FEEDS_OR_STATUS_OF	MATH_MAXWELL_WEIGHTED_GAUGE_FIXING	safe_interpretation_or_structural_patch	Claim feeds this downstream object, output, or open gate.
CLAIM_MAXWELL_GAUGE_LOCALIZATION_PATCH	FEEDS_OR_STATUS_OF	MT_V2_02_MAXWELL_GAUGE_AUDIT	safe_interpretation_or_structural_patch	Claim feeds this downstream object, output, or open gate.
CLAIM_MIXED_RECIRCULATION_OPEN	REFINES_OPEN_EM_REQUIREMENT	CLAIM_MIXED_SECTOR_MICROSCOPIC	active	Claim-level dependency added in v0.4.
CLAIM_MIXED_RECIRCULATION_OPEN	FEEDS_OR_STATUS_OF	OPEN_MIXED_RECIRCULATION	open	Claim feeds this downstream object, output, or open gate.
CLAIM_FLUXOID_SINGLE_VALUED_PSI_QUANTIZATION	SUPPORTS	MATH_FLUXOID	exact_identity_audit	Circulation package derives integer phase winding from single-valued psi and supports the fluxoid/circulation law.
CLAIM_FLUXOID_SINGLE_VALUED_PSI_QUANTIZATION	REINFORCES_FIREWALL	FIREWALL_CHARGE_NOT_CIRCULATION	exact_identity_audit	Audit keeps eta_Q/q_* bookkeeping separate from the circulation integer.
CLAIM_NO_UNIVERSAL_FORCE_FROM_FLUXOID	LIMITS_SCOPE_OF	MATH_FLUXOID	exact_negative_within_3d_closure_analysis	Fluxoid holonomy alone is not a 3D radial-force law.
CLAIM_NO_UNIVERSAL_FORCE_FROM_FLUXOID	PRESERVES_OPEN_GATE	CLAIM_MIXED_RECIRCULATION_OPEN	exact_negative_within_3d_closure_analysis	Current/plumbing coefficients and mixed-sector transport remain external closure data.
DERIVATION_COAXIAL_NEUMANN_CURRENT_LOOP	SUPPLIES_CLOSURE_EXAMPLE	CLAIM_NO_UNIVERSAL_FORCE_FROM_FLUXOID	exact_within_fixed_current_far_field_closure	Fixed-current loop law is a named closure, not a consequence of fluxoid alone.
DERIVATION_COAXIAL_NEUMANN_CURRENT_LOOP	SUPPLIES_FIXED_CURRENT_FORCE	CLAIM_FACING_MOUTH_SWIRL_CONDITIONAL	exact_within_fixed_current_far_field_closure	Facing-mouth sign table imports the fixed-current coaxial force sign.
DERIVATION_VECTOR_DIPOLE_ORIENTATION_CROSSCHECK	RECOVERS_COAXIAL_LIMIT	DERIVATION_COAXIAL_NEUMANN_CURRENT_LOOP	exact_dipole_far_field_crosscheck	Vector dipole audit recovers the Step-03 leading coaxial force.
DERIVATION_VECTOR_DIPOLE_ORIENTATION_CROSSCHECK	SUPPLIES_ORIENTATION_LAW	CLAIM_FACING_MOUTH_SWIRL_CONDITIONAL	exact_dipole_far_field_crosscheck	3D vector dipole orientation law supplies the geometric sign rule.
CLAIM_FACING_MOUTH_SWIRL_CONDITIONAL	MAPS_LOCAL_LABEL_TO_GLOBAL_AXIS	PHYS_MAGNETIC_VORTICAL_CIRCULATION	exact_within_fixed_current_orientation_closure	Oriented loop area maps local swirl labels to the global current/dipole axis.
CLAIM_FACING_MOUTH_SWIRL_CONDITIONAL	RESPECTS_SCOPE_LIMIT	CLAIM_NO_UNIVERSAL_FORCE_FROM_FLUXOID	exact_within_fixed_current_orientation_closure	Facing-mouth attraction statement remains closure-conditional and does not override the no-universal-force result.
CLAIM_MIXED_CIRCULATION_PLUMBING_CONDITIONAL	IMPORTS_SIGN_TABLE_CONDITIONALLY	CLAIM_FACING_MOUTH_SWIRL_CONDITIONAL	conditional_open_plumbing	Mixed-sector statement imports the facing-mouth sign rule only after a current-like plumbing map is assumed.
CLAIM_MIXED_CIRCULATION_PLUMBING_CONDITIONAL	PRESERVES_OPEN_GATE	CLAIM_MIXED_RECIRCULATION_OPEN	conditional_open_plumbing	Lambda_A sign remains an open plumbing-law datum.
CLAIM_MIXED_CIRCULATION_PLUMBING_CONDITIONAL	FEEDS_OR_STATUS_OF	OPEN_MIXED_RECIRCULATION	conditional_open_plumbing	Circulation package refines the open gate to include Lambda_A sign and N0 magnitude status.
CLAIM_MIXED_CIRCULATION_PLUMBING_CONDITIONAL	DEPENDS_ON	PHYS_MIXED_EM_CORE	conditional_open_plumbing	Plumbing condition lives in the mixed brane-bulk EM channels.
CLAIM_MIXED_CIRCULATION_PLUMBING_CONDITIONAL	IMPORTS	MATH_FLUXOID	conditional_open_plumbing	Effective current map starts from the fluxoid/circulation integer but does not derive from it alone.
CLAIM_MIXED_SECTOR_MICROSCOPIC	ENABLES	CLAIM_PROJECTED_EM_OUTGOING_BRIDGE	active	Claim-level dependency added in v0.4.
CLAIM_MIXED_SECTOR_MICROSCOPIC	FEEDS_OR_STATUS_OF	MATH_MAXWELL_MIXED_KERNEL	exact_gauge_invariant_with_reduced_uses	Claim feeds this downstream object, output, or open gate.
CLAIM_MIXED_SECTOR_MICROSCOPIC	FEEDS_OR_STATUS_OF	MATH_MIXED_FIELDS_EW_CA	exact_gauge_invariant_with_reduced_uses	Claim feeds this downstream object, output, or open gate.
CLAIM_MIXED_SECTOR_MICROSCOPIC	FEEDS_OR_STATUS_OF	MT_STAGE004_020_PROJECTED_MAXWELL	exact_gauge_invariant_with_reduced_uses	Claim feeds this downstream object, output, or open gate.
CLAIM_PACKET_A_PACKET_B_SPLIT	REQUIRES	CLAIM_BRANCH_EXPORTER_REQUIRED	active	Claim-level dependency added in v0.4.
CLAIM_PACKET_A_PACKET_B_SPLIT	FEEDS_OR_STATUS_OF	OPEN_WEAK_AXISYM_ORBIT_LOCK	open_branch_packets	Claim feeds this downstream object, output, or open gate.
CLAIM_PACKET_A_PACKET_B_SPLIT	FEEDS_OR_STATUS_OF	TARGET_PACKET_A	open_branch_packets	Claim feeds this downstream object, output, or open gate.
CLAIM_PACKET_A_PACKET_B_SPLIT	FEEDS_OR_STATUS_OF	TARGET_PACKET_B	open_branch_packets	Claim feeds this downstream object, output, or open gate.
CLAIM_PARENT_ACTION_CURRENT_EXACT	SUPPLIES_PARENT_FOR	CLAIM_PROJECTION_OPEN_BRANE_SYSTEM	active	Claim-level dependency added in v0.4.
CLAIM_PARENT_ACTION_CURRENT_EXACT	SUPPLIES_PARENT_CONTEXT_FOR	CLAIM_STAGE1_GEOMETRY_LIFT	active	Claim-level dependency added in v0.4.
CLAIM_PARENT_ACTION_CURRENT_EXACT	SUPPLIES_PARENT_FOR	CLAIM_ZERO_MODE_MAXWELL_REDUCTION	active	Claim-level dependency added in v0.4.
CLAIM_PARENT_ACTION_CURRENT_EXACT	FEEDS_OR_STATUS_OF	MATH_GNLS_PSI	exact_parent_current	Claim feeds this downstream object, output, or open gate.
CLAIM_PARENT_ACTION_CURRENT_EXACT	FEEDS_OR_STATUS_OF	MATH_LOCALIZED_MAXWELL_AM	exact_parent_current	Claim feeds this downstream object, output, or open gate.
